date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:16	118156/118156	---M--	200	added ('OK')	image/jpeg	etag:%226a0994-1cd8c-555d6985ac0c0%22	http://www.hmk.net.pl/wp-content/uploads/2017/08/piony_02.jpg	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/uploads/2017/08/piony_02.jpg	(from http://www.hmk.net.pl/)
21:44:16	127843/127843	---M--	200	added ('OK')	image/jpeg	etag:%226a0990-1f363-555d6984b7e80%22	http://www.hmk.net.pl/wp-content/uploads/2017/08/piony_01.jpg	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/uploads/2017/08/piony_01.jpg	(from http://www.hmk.net.pl/)
21:44:22	71737/71737	---M--	200	added ('OK')	image/jpeg	etag:%226a071b-11839-555d67c47dd00%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/klimat2.jpg	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/klimat2.jpg	(from http://www.hmk.net.pl/)
21:44:24	15638/15638	---M--	200	added ('OK')	image/png	etag:%226a072f-3d16-557321393fc00%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/pictograms/uslugi-1.png	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/pictograms/uslugi-1.png	(from http://www.hmk.net.pl/)
21:44:25	118156/118156	---M--	200	added ('OK')	image/jpeg	etag:%226a0718-1cd8c-555d67c47dd00%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/chlodn2.jpg	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/chlodn2.jpg	(from http://www.hmk.net.pl/)
21:44:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Feb%202018%2021:44:21%20GMT	http://www.hmk.net.pl/uslugi/klimatyzacja/sprzedaz	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/uslugi/klimatyzacja/sprzedaz	(from http://www.hmk.net.pl/)
21:44:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Feb%202018%2021:44:21%20GMT	http://www.hmk.net.pl/uslugi/chlodnictwo/sprzedaz	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/uslugi/chlodnictwo/sprzedaz.29.delayed	(from http://www.hmk.net.pl/)
21:44:26	22876/22876	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202018%2021:44:21%20GMT	http://www.hmk.net.pl/uslugi/klimatyzacja/sprzedaz/	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/uslugi/klimatyzacja/sprzedaz/index.html	(from http://www.hmk.net.pl/)
21:44:26	22867/22867	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202018%2021:44:22%20GMT	http://www.hmk.net.pl/uslugi/chlodnictwo/sprzedaz/	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/uslugi/chlodnictwo/sprzedaz/index.html	(from http://www.hmk.net.pl/)
21:44:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Feb%202018%2021:44:23%20GMT	http://www.hmk.net.pl/uslugi/klimatyzacja/montaz	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/uslugi/klimatyzacja/montaz	(from http://www.hmk.net.pl/)
21:44:27	24079/24079	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202018%2021:44:23%20GMT	http://www.hmk.net.pl/uslugi/klimatyzacja/montaz/	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/uslugi/klimatyzacja/montaz/index.html	(from http://www.hmk.net.pl/)
21:44:28	72832/72832	---M--	200	added ('OK')	image/jpeg	etag:%226a071c-11c80-555ed4615d7c0%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/klimat3.jpg	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/home-slider/klimat3.jpg	(from http://www.hmk.net.pl/)
21:44:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Feb%202018%2021:44:24%20GMT	http://www.hmk.net.pl/uslugi/chlodnictwo/montaz	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/uslugi/chlodnictwo/montaz	(from http://www.hmk.net.pl/)
21:44:28	24447/24447	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202018%2021:44:24%20GMT	http://www.hmk.net.pl/uslugi/chlodnictwo/montaz/	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/uslugi/chlodnictwo/montaz/index.html	(from http://www.hmk.net.pl/)
21:44:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Feb%202018%2021:44:24%20GMT	http://www.hmk.net.pl/uslugi/klimatyzacja/serwis	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/uslugi/klimatyzacja/serwis	(from http://www.hmk.net.pl/)
21:44:29	16352/16352	---M--	200	added ('OK')	image/png	etag:%226a0730-3fe0-557321393fc00%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/pictograms/uslugi-2.png	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/pictograms/uslugi-2.png	(from http://www.hmk.net.pl/)
21:44:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2024%20Feb%202018%2021:44:25%20GMT	http://www.hmk.net.pl/uslugi/chlodnictwo/serwis	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/uslugi/chlodnictwo/serwis	(from http://www.hmk.net.pl/)
21:44:29	23985/23985	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202018%2021:44:25%20GMT	http://www.hmk.net.pl/uslugi/klimatyzacja/serwis/	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/uslugi/klimatyzacja/serwis/index.html	(from http://www.hmk.net.pl/)
21:44:30	24260/24260	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Feb%202018%2021:44:25%20GMT	http://www.hmk.net.pl/uslugi/chlodnictwo/serwis/	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/uslugi/chlodnictwo/serwis/index.html	(from http://www.hmk.net.pl/)
21:44:31	17023/17023	---M--	200	added ('OK')	image/png	etag:%226a0731-427f-5573213a33e40%22	http://www.hmk.net.pl/wp-content/themes/hmkemc-child/images/pictograms/uslugi-3.png	C:/Users/Administrator/Desktop/hmk/hmk/www.hmk.net.pl/wp-content/themes/hmkemc-child/images/pictograms/uslugi-3.png	(from http://www.hmk.net.pl/)
